user_id,n_val,mle_top1,map_top1
AE7IBOUTC6W6UQQMDASCSERRXKUA,1,0,0
AE7J527RSCLM24VS5RCMFOJAAMIQ,2,1,1
AE7LP2DHTDDDAQ5HMOVV6KF2LFTA,4,0,0
AE7M4LV37BA6DKPYWMBLAVUOOQQQ,1,1,0
AE7MFYXQ2WEQSOZEYDMXYW26KJMQ,3,0,0
AE7MZ6QLOLOXJ5REKX2KRTRKYWAQ,1,0,0
AE7N4WK7OYMAXKXODT2MSG7H4FPA,11,1,1
AE7NCJ6FOJX3MHWZTMJCW3BFBI4A,1,0,1
AE7RMCAETYY47UFLNMEITDQ4FXWA,3,1,1
AE7ROSSEHZ72CWIXP6NTL7ELZLRQ,1,1,1
AE7RQONFXWL2FVQPMWNN573OTBAA,1,0,0
AE7RR64IPSQLCOBZCEOLCVZMNQEA,3,0,0
AE7S2TFTTDSQ3LCSGYZPZLAPUSHA,2,0,0
AE7SB36OPCQII6P23VTWIXB5UVFQ,1,0,0
AE7SURQXNTXVKIRAROMBZ36JI6BA,4,1,1
AE7SUYDF3UWDRLVER2RI67A2LYFA,1,0,1
AE7TKNKP5PAXHVKOLNBAGCDLT7KQ,1,1,1
AE7TONLR367TKX5JUJ6A4U4KNCRA,1,0,0
AE7VR3F5CLOFWPMZPJNR46LDZD3Q,1,0,0
AE7XGATKZNBFVBG5I4OCLZLX6FAQ,1,0,1
AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,7,0,0
AE7YFV24U4EPAIWMAHPGPGD4NTZQ,1,0,0
AE7YV4QX7GPIJYAEOOGRSWZ25OUQ,1,0,1
AE7YYSYFEWAYIUCAK4W33CHPP4JQ,82,1,1
AEA2MA24WNQT4JM3R3RK6QTE45YA,10,1,1
AEA2OIB2B2XQBSO47UT53QEAY7RA,2,0,1
AEA375YBIBK6M5OAVIKKWJ2WC3GQ,2,1,1
AEA7F6EEBGH63SZDRK3QIEWPQ5HQ,1,0,0
AEAAHSUTE4W7QPTTT2KHS5UZBNOA,1,0,0
AEABHLE4JFFH7V2OLLYBUAK6V7MA,8,0,0
AEAHFCICJT2GPV7LUQYMS7QK5WSA,2,0,1
AEAHRZOPB6LLBZTY5K2JGXSVYPGQ,4,0,0
AEAJH4QZZI7OHJKUGGQSEIH5V66Q,1,0,1
AEAJLUB7HNPH36LGSWL2CKL5WWWA,1,0,0
AEAJOWGOJHULRAO5CXGX4L3MAHWA,3,1,0
AEALFI6YVTQKMVE5TFCWWHCKDG2Q,3,1,0
AEAMPTIN6P2ZHTC2YLNVH6IFNGNQ,2,1,1
AEAN3KJQOMOXW5J2VPC2QZEESAWA,1,0,1
AEAOK3FCEQE7655BGPYCXBK3VCEA,1,0,0
AEAQAACS3KVUIHQXQ7V3UWMIKNIA,1,0,1
AEARD7BH6IUY5DCCZOTF45R7MK7A,1,0,0
AEASQF5HDFE5R5TKNTYRPJXXRJVA,3,0,0
AEAUOTR7AW2LWC7EN57SGGUDNHLQ,2,1,1
AEAWNTD7SZZRA75U7YC6N4CK6UAQ,9,0,0
AEAXAJACFMXIAAH4WOHRMXPSZWFA,22,1,1
AEAZU2CWMBHHJJA4VHMXBRRH5QOA,4,1,1
AEB34XJFJ7YU4E5DJUF3G6CT5XAQ,10,0,0
AEB6X4JZAXX7RJCNUMZQ773PFXDQ,1,0,0
AEBBKUBAOATFCVGUUAPC2KKRJE3A,1,0,0
AEBCAGY6FPZS3ZF63WQWTEXKDWEQ,3,1,1
AEBCXOKTKDUZO2WS6J3VKHVIEYDQ,1,0,0
AEBDOXZ62MYOF37AGZCBYQA2ZO3A,2,0,1
AEBDY2WIFIKXSQLM4KTQPGYZL37Q,2,1,1
AEBEO53PVO3PTIVCOHM3LWRAFQVA,1,0,1
AEBEVCYY3HASVJ2Z5Q2Q36TENT2A,4,1,1
AEBFJD6EXNGIGUTPN77OIFLO2PWQ,2,1,1
AEBGEV42YQJY5EUEFCFJUKS3R2FA,1,1,1
AEBGF6ZQ263XV723WNJDEPJY4QFQ,2,0,0
AEBGLGTH76MNINFOXQ5FVITGN42Q,2,1,1
AEBMYYL5EOLCOZ4DYGP6SA7KNNMQ,1,1,1
AEBNL66OHX4MHONHLNWYWMVSIARA,2,0,0
AEBO7DV4BIAJYTJC6YNFSSJBSIPA,1,1,1
AEBOCEF4W3UNB6Q3JWMHKBRKGZMA,2,1,1
AEBONXNABYUMPSX4AWRFMFVGGX3Q,4,1,1
AEBOPEWZ3MXNYUMHE2224RACV66A,1,0,0
AEBP5DPM4GDC6BLXZKR3EOONDF7Q,1,0,1
AEBQX57WXPYBXNX27IAJIIANGFRA,1,1,1
AEBV7EWLGRTRRJCHN73RYFM6EOBA,2,0,0
AEBWVWJ6K4SC6PVBIEA4IZ7GFDTQ,5,1,1
AEBXJRP4COCKP22LPKUDVCQ7JKVQ,3,1,1
AEBYQHEW6TRETTBLICHHQIUJUCPQ,1,0,0
